iter	Passed	Remaining
167	2842	14075
168	2859	14059
169	2876	14043
170	2892	14021
171	2908	14002
172	2925	13986
173	2942	13967
174	2959	13952
175	2976	13936
176	2985	13881
177	3006	13885
178	3023	13868
179	3029	13801
180	3046	13784
181	3063	13767
182	3078	13743
183	3093	13717
184	3108	13694
185	3123	13671
186	3139	13650
187	3155	13631
188	3188	13681
189	3207	13674
190	3228	13672
191	3234	13612
192	3258	13626
193	3275	13609
194	3292	13592
195	3309	13576
196	3326	13558
197	3343	13543
198	3359	13524
199	3376	13507
200	3393	13487
201	3406	13459
202	3423	13440
203	3439	13420
204	3455	13400
205	3472	13383
206	3491	13375
207	3505	13347
208	3522	13332
209	3539	13314
210	3555	13295
211	3571	13276
212	3588	13258
213	3618	13291
214	3634	13271
215	3651	13253
216	3667	13234
217	3685	13219
218	3701	13199
219	3717	13180
220	3740	13186
221	3757	13168
222	3774	13151
223	3790	13131
224	3807	13114
225	3823	13096
226	3860	13147
227	3892	13181
228	3915	13181
229	3935	13173
230	3953	13161
231	3967	13134
232	3988	13128
233	4005	13111
234	4019	13085
235	4036	13065
236	4052	13047
237	4065	13016
238	4081	12995
239	4097	12974
240	4109	12943
241	4125	12922
242	4141	12903
243	4157	12882
244	4171	12854
245	4184	12826
246	4202	12811
247	4219	12794
248	4242	12796
249	4260	12782
250	4278	12767
251	4296	12752
252	4309	12723
253	4325	12703
254	4342	12686
255	4357	12664
256	4370	12635
257	4385	12613
258	4401	12592
259	4419	12579
260	4452	12608
261	4472	12599
262	4494	12595
263	4511	12576
264	4527	12558
265	4545	12541
266	4559	12516
267	4572	12489
268	4603	12509
269	4617	12484
270	4633	12464
271	4650	12446
272	4666	12427
273	4683	12408
274	4695	12380
275	4711	12359
276	4728	12343
277	4745	12325
278	4762	12307
279	4779	12290
280	4797	12276
281	4814	12258
282	4832	12243
283	4846	12218
284	4860	12193
285	4877	12177
286	4895	12161
287	4911	12142
288	4929	12127
289	4947	12113
290	4966	12099
291	4990	12100
292	5008	12085
293	5027	12072
294	5046	12060
295	5064	12046
296	5083	12031
297	5101	12016
298	5120	12005
299	5136	11986
300	5153	11966
301	5169	11948
302	5188	11934
303	5205	11917
304	5221	11899
305	5240	11886
306	5255	11862
307	5272	11844
308	5288	11826
309	5305	11809
310	5322	11790
311	5335	11764
312	5350	11744
313	5365	11722
314	5381	11702
315	5397	11684
316	5414	11665
317	5430	11646
318	5447	11629
319	5464	11611
320	5480	11593
321	5503	11589
322	5521	11573
323	5536	11552
324	5551	11530
325	5564	11504
326	5576	11476
327	5590	11454
328	5605	11433
329	5620	11411
330	5635	11389
331	5650	11368
332	5665	11347
333	5679	11325
334	5694	11304
335	5711	11287
336	5728	11269
337	5745	11252
338	5761	11234
339	5776	11213
340	5791	11193
341	5808	11175
342	5825	11159
343	5841	11140
344	5857	11121
345	5874	11103
346	5890	11085
347	5907	11068
348	5922	11047
349	5937	11027
350	5952	11006
351	5967	10985
352	5982	10964
353	5999	10948
354	6015	10929
355	6031	10910
356	6046	10890
357	6061	10869
358	6076	10848
359	6091	10828
360	6108	10812
361	6124	10794
362	6139	10773
363	6154	10753
364	6170	10735
365	6190	10723
366	6207	10706
367	6224	10689
368	6243	10677
369	6260	10659
370	6277	10642
371	6293	10625
372	6311	10609
373	6329	10593
374	6345	10576
375	6362	10558
376	6379	10541
377	6395	10524
378	6412	10506
379	6429	10489
380	6445	10472
381	6462	10454
382	6477	10435
383	6496	10421
384	6511	10401
385	6526	10381
386	6542	10363
387	6559	10346
388	6576	10329
389	6593	10312
390	6609	10294
391	6627	10280
392	6644	10262
393	6661	10246
394	6678	10229
395	6697	10214
396	6713	10197
397	6730	10179
398	6778	10209
399	6795	10193
400	6811	10175
401	6828	10157
402	6845	10140
403	6861	10122
404	6878	10105
405	6894	10086
406	6909	10067
407	6924	10046
408	6940	10028
409	6955	10008
410	6970	9989
411	6988	9973
412	7003	9954
413	7019	9935
414	7048	9935
415	7076	9934
416	7100	9927
417	7119	9912
418	7139	9899
419	7158	9885
420	7179	9874
421	7197	9858
422	7212	9838
423	7232	9825
424	7249	9808
425	7266	9790
426	7281	9770
427	7296	9751
428	7311	9731
429	7327	9713
430	7343	9695
431	7360	9677
432	7376	9659
433	7392	9641
434	7410	9625
435	7427	9608
436	7444	9591
437	7461	9573
438	7479	9557
439	7505	9552
440	7522	9534
441	7539	9518
442	7556	9501
443	7574	9485
444	7592	9469
445	7611	9454
446	7628	9437
447	7645	9420
448	7662	9403
449	7692	9402
450	7709	9384
451	7726	9367
452	7746	9354
453	7763	9336
454	7782	9322
455	7800	9305
456	7816	9287
457	7834	9270
458	7861	9265
459	7879	9249
460	7895	9231
461	7912	9213
462	7932	9199
463	7950	9184
464	7968	9167
465	7993	9159
466	8014	9147
467	8029	9127
468	8044	9108
469	8060	9089
470	8075	9069
471	8090	9050
472	8130	9058
473	8145	9038
474	8162	9021
475	8180	9005
476	8197	8988
477	8214	8971
478	8235	8957
479	8253	8940
480	8274	8928
481	8296	8915
482	8312	8897
483	8330	8881
484	8351	8867
485	8371	8854
486	8391	8839
487	8411	8824
488	8431	8811
489	8449	8794
490	8468	8778
491	8504	8780
492	8523	8765
493	8542	8749
494	8561	8734
495	8582	8720
496	8603	8707
497	8623	8692
498	8641	8675
499	8661	8661
500	8677	8643
501	8693	8624
502	8710	8607
503	8731	8593
504	8749	8576
505	8769	8561
506	8788	8546
507	8807	8529
508	8825	8513
509	8845	8498
510	8864	8482
511	8884	8467
512	8905	8453
513	8925	8439
514	8942	8421
515	8960	8404
516	8988	8397
517	9022	8395
518	9042	8380
519	9066	8368
520	9090	8358
521	9113	8345
522	9134	8330
523	9155	8317
524	9177	8303
525	9197	8288
526	9216	8272
527	9232	8253
528	9247	8233
529	9263	8214
530	9278	8195
531	9293	8175
532	9308	8155
533	9323	8136
534	9339	8117
535	9356	8099
536	9373	8082
537	9390	8064
538	9420	8057
539	9437	8039
540	9455	8021
541	9482	8012
542	9500	7995
543	9516	7977
544	9532	7958
545	9547	7939
546	9562	7918
547	9576	7899
548	9593	7880
549	9610	7862
550	9626	7844
551	9643	7826
552	9660	7808
553	9677	7791
554	9694	7772
555	9714	7757
556	9731	7739
557	9749	7722
558	9767	7705
559	9783	7687
560	9801	7669
561	9817	7650
562	9832	7631
563	9848	7613
564	9864	7594
565	9880	7576
566	9897	7558
567	9914	7540
568	9931	7523
569	9948	7505
570	9971	7491
571	9987	7473
572	10004	7455
573	10021	7437
574	10037	7418
575	10052	7399
576	10067	7380
577	10081	7360
578	10096	7341
579	10111	7322
580	10125	7302
581	10141	7284
582	10159	7266
583	10175	7248
584	10191	7230
585	10209	7212
586	10224	7193
587	10239	7174
588	10254	7155
589	10269	7136
590	10284	7117
591	10299	7098
592	10314	7079
593	10329	7060
594	10345	7041
595	10360	7023
596	10375	7004
597	10390	6984
598	10406	6966
599	10421	6947
600	10436	6928
601	10454	6912
602	10470	6893
603	10485	6874
604	10499	6855
605	10512	6834
606	10527	6815
607	10542	6797
608	10557	6778
609	10572	6759
610	10588	6741
611	10603	6722
612	10615	6701
613	10630	6683
614	10646	6664
615	10661	6646
616	10676	6627
617	10690	6608
618	10708	6591
619	10723	6572
620	10737	6552
621	10751	6534
622	10766	6515
623	10781	6496
624	10796	6477
625	10811	6459
626	10825	6440
627	10840	6421
628	10855	6402
629	10869	6383
630	10884	6365
631	10899	6346
632	10914	6328
633	10929	6309
634	10947	6292
635	10961	6273
636	10976	6254
637	10992	6237
638	11007	6218
639	11022	6200
640	11037	6181
641	11052	6163
642	11067	6144
643	11082	6126
644	11096	6107
645	11111	6088
646	11127	6070
647	11142	6052
648	11157	6034
649	11172	6016
650	11187	5997
651	11206	5981
652	11221	5962
653	11236	5944
654	11251	5926
655	11268	5909
656	11282	5890
657	11297	5871
658	11312	5853
659	11326	5834
660	11342	5817
661	11358	5799
662	11374	5781
663	11398	5767
664	11430	5758
665	11454	5744
666	11472	5727
667	11488	5710
668	11505	5692
669	11521	5674
670	11537	5657
671	11552	5638
672	11567	5620
673	11582	5602
674	11597	5583
675	11612	5565
676	11628	5547
677	11643	5529
678	11659	5512
679	11683	5497
680	11699	5480
681	11714	5462
682	11729	5444
683	11744	5425
684	11759	5407
685	11773	5389
686	11790	5371
687	11807	5354
688	11824	5337
689	11841	5320
690	11858	5302
691	11875	5285
692	11892	5268
693	11907	5250
694	11925	5233
695	11940	5215
696	11954	5196
697	11969	5178
698	11984	5160
699	11998	5142
700	12015	5124
701	12031	5107
702	12047	5089
703	12064	5072
704	12080	5055
705	12098	5038
706	12114	5020
707	12130	5002
708	12144	4984
709	12164	4968
710	12182	4951
711	12198	4934
712	12214	4916
713	12230	4898
714	12245	4881
715	12261	4863
716	12277	4846
717	12294	4828
718	12310	4811
719	12327	4794
720	12342	4776
721	12357	4758
722	12372	4740
723	12388	4722
724	12403	4704
725	12420	4687
726	12436	4669
727	12451	4652
728	12468	4635
729	12484	4617
730	12500	4600
731	12516	4582
732	12531	4564
733	12546	4546
734	12561	4528
735	12578	4511
736	12594	4494
737	12611	4477
738	12627	4459
739	12643	4442
740	12663	4426
741	12681	4409
742	12698	4392
743	12715	4375
744	12730	4357
745	12746	4339
746	12762	4322
747	12777	4304
748	12792	4287
749	12808	4269
750	12823	4251
751	12837	4233
752	12852	4215
753	12867	4198
754	12882	4180
755	12898	4163
756	12920	4147
757	12937	4130
758	12953	4112
759	12969	4095
760	12984	4077
761	12999	4060
762	13014	4042
763	13029	4024
764	13044	4007
765	13060	3989
766	13074	3971
767	13090	3954
768	13107	3937
769	13124	3920
770	13137	3902
771	13155	3885
772	13170	3867
773	13180	3848
774	13195	3830
775	13210	3813
776	13224	3795
777	13240	3778
778	13255	3760
779	13269	3742
780	13285	3725
781	13300	3707
782	13314	3690
783	13329	3672
784	13344	3654
785	13358	3637
786	13375	3620
787	13389	3602
788	13407	3585
789	13422	3568
790	13438	3550
791	13453	3533
792	13467	3515
793	13482	3498
794	13497	3480
795	13512	3462
796	13527	3445
797	13542	3427
798	13556	3410
799	13575	3393
800	13593	3377
801	13608	3359
802	13623	3342
803	13639	3324
804	13657	3308
805	13673	3291
806	13690	3274
807	13706	3257
808	13723	3240
809	13739	3222
810	13756	3205
811	13771	3188
812	13786	3171
813	13801	3153
814	13816	3136
815	13830	3118
816	13845	3101
817	13860	3083
818	13875	3066
819	13893	3049
820	13908	3032
821	13923	3015
822	13939	2997
823	13954	2980
824	13969	2963
825	13984	2945
826	13999	2928
827	14013	2911
828	14028	2893
829	14043	2876
830	14057	2858
831	14071	2841
832	14087	2824
833	14102	2806
834	14117	2789
835	14132	2772
836	14148	2755
837	14161	2737
838	14175	2720
839	14190	2702
840	14206	2685
841	14221	2668
842	14235	2651
843	14250	2634
844	14266	2616
845	14281	2599
846	14297	2582
847	14311	2565
848	14330	2548
849	14345	2531
850	14360	2514
851	14374	2497
852	14392	2480
853	14408	2463
854	14424	2446
855	14442	2429
856	14459	2412
857	14473	2395
858	14488	2378
859	14504	2361
860	14520	2344
861	14535	2327
862	14551	2310
863	14567	2293
864	14582	2275
865	14597	2258
866	14613	2241
867	14637	2225
868	14655	2209
869	14674	2192
870	14692	2176
871	14709	2159
872	14726	2142
873	14744	2125
874	14760	2108
875	14775	2091
876	14792	2074
877	14808	2057
878	14824	2040
879	14840	2023
880	14855	2006
881	14870	1989
882	14891	1973
883	14907	1956
884	14925	1939
885	14943	1922
886	14959	1905
887	14974	1888
888	14990	1871
889	15006	1854
890	15021	1837
891	15036	1820
892	15051	1803
893	15066	1786
894	15083	1769
895	15098	1752
896	15113	1735
897	15135	1719
898	15151	1702
899	15167	1685
900	15182	1668
901	15197	1651
902	15212	1634
903	15227	1617
904	15242	1600
905	15257	1582
906	15272	1565
907	15290	1549
908	15305	1532
909	15320	1515
910	15335	1498
911	15351	1481
912	15366	1464
913	15386	1447
914	15404	1431
915	15421	1414
916	15444	1397
917	15463	1381
918	15478	1364
919	15493	1347
920	15508	1330
921	15523	1313
922	15537	1296
923	15552	1279
924	15567	1262
925	15581	1245
926	15596	1228
927	15611	1211
928	15632	1194
929	15649	1177
930	15664	1160
931	15679	1143
932	15694	1127
933	15709	1110
934	15726	1093
935	15742	1076
936	15757	1059
937	15772	1042
938	15787	1025
939	15802	1008
940	15817	991
941	15832	974
942	15847	957
943	15861	940
944	15881	924
945	15900	907
946	15918	890
947	15937	874
948	15956	857
949	15971	840
950	15986	823
951	16002	806
952	16017	789
953	16032	773
954	16047	756
955	16063	739
956	16078	722
957	16094	705
958	16109	688
959	16127	671
960	16143	655
961	16158	638
962	16174	621
963	16191	604
964	16206	587
965	16220	570
966	16235	554
967	16250	537
968	16265	520
969	16281	503
970	16296	486
971	16311	469
972	16325	453
973	16340	436
974	16355	419
975	16372	402
976	16386	385
977	16401	368
978	16419	352
979	16434	335
980	16449	318
981	16464	301
982	16479	284
983	16494	268
984	16509	251
985	16524	234
986	16539	217
987	16554	201
988	16569	184
989	16583	167
990	16600	150
991	16617	134
992	16632	117
993	16649	100
994	16666	83
995	16686	67
996	16705	50
997	16720	33
998	16736	16
999	16751	0
