iter	RMSE
213	4.194628896
214	4.193698675
215	4.191752025
216	4.190325392
217	4.185159516
218	4.183543785
219	4.180668012
220	4.179840848
221	4.174932626
222	4.174032466
223	4.170662207
224	4.166604147
225	4.162728849
226	4.158729667
227	4.156280257
228	4.154712985
229	4.151505686
230	4.147059054
231	4.146953105
232	4.145533704
233	4.144801656
234	4.144701496
235	4.140090733
236	4.138559546
237	4.138410517
238	4.137338705
239	4.13356299
240	4.133469627
241	4.130466336
242	4.128001191
243	4.123725733
244	4.123638554
245	4.123554108
246	4.120645879
247	4.11957959
248	4.118849088
249	4.117924138
250	4.117372743
251	4.117016983
252	4.116942412
253	4.11422176
254	4.111337229
255	4.11083894
256	4.110773153
257	4.109762106
258	4.107115435
259	4.106818122
260	4.10666461
261	4.104842334
262	4.102371419
263	4.099596506
264	4.098882957
265	4.094257931
266	4.094206317
267	4.094156206
268	4.092362334
269	4.092314584
270	4.089837766
271	4.088881898
272	4.082469928
273	4.078707718
274	4.078663096
275	4.076666758
276	4.07561751
277	4.074725887
278	4.07226207
279	4.07002596
280	4.067067832
281	4.065885902
282	4.0654535
283	4.065415055
284	4.065377717
285	4.063108523
286	4.061469011
287	4.061310107
288	4.058889072
289	4.058391455
290	4.05644771
291	4.056066197
292	4.055317221
293	4.054742875
294	4.052860379
295	4.050046891
296	4.046970821
297	4.043738531
298	4.037511706
299	4.035408559
300	4.033518519
301	4.030549701
302	4.028011971
303	4.024955821
304	4.024824171
305	4.02296072
306	4.022932088
307	4.0197776
308	4.018034483
309	4.013881507
310	4.011154987
311	4.011129231
312	4.008845331
313	4.005881449
314	4.002683982
315	4.000347964
316	3.998067178
317	3.996427867
318	3.993770502
319	3.992014712
320	3.989345743
321	3.987552584
322	3.984744191
323	3.981801696
324	3.980758553
325	3.980735978
326	3.980714056
327	3.978161653
328	3.977313359
329	3.974149463
330	3.972616802
331	3.97015002
332	3.968334082
333	3.966300611
334	3.964624776
335	3.959809673
336	3.957104491
337	3.955179474
338	3.953450448
339	3.949890263
340	3.947963279
341	3.946361846
342	3.94370033
343	3.942757275
344	3.938082002
345	3.937507101
346	3.936702154
347	3.934033773
348	3.930375457
349	3.928535977
350	3.922711548
351	3.920435322
352	3.919396773
353	3.917677304
354	3.915343872
355	3.914066834
356	3.911614023
357	3.909083963
358	3.906263739
359	3.905925356
360	3.902632368
361	3.900943315
362	3.897779607
363	3.897465584
364	3.896057267
365	3.89275235
366	3.890871588
367	3.88892075
368	3.885026869
369	3.880461501
370	3.878507348
371	3.875010905
372	3.870916144
373	3.87047208
374	3.868598318
375	3.864881357
376	3.862573167
377	3.857643519
378	3.856151439
379	3.852773504
380	3.850224404
381	3.847870324
382	3.8469851
383	3.84468467
384	3.84145589
385	3.83965755
386	3.837240042
387	3.83539794
388	3.833533995
389	3.83046849
390	3.827470647
391	3.825187663
392	3.823912273
393	3.821722288
394	3.818956663
395	3.815684455
396	3.812067252
397	3.80897156
398	3.807687204
399	3.806180258
400	3.803975757
401	3.80188494
402	3.801287014
403	3.80062343
404	3.799428001
405	3.793844976
406	3.79339164
407	3.789534982
408	3.788332576
409	3.785316001
410	3.784609355
411	3.783245032
412	3.781542106
413	3.779439373
414	3.779115804
415	3.777082367
416	3.774427483
417	3.773436867
418	3.770139591
419	3.768163996
420	3.766761982
421	3.761182844
422	3.761168958
423	3.760050243
424	3.759814724
425	3.756090489
426	3.753264409
427	3.750714354
428	3.748290581
429	3.745619103
430	3.744253683
431	3.74340404
432	3.742606316
433	3.740057405
434	3.739249579
435	3.73874091
436	3.736512427
437	3.734976097
438	3.732130485
439	3.729269267
440	3.727945143
441	3.727266635
442	3.724921426
443	3.723558518
444	3.723201344
445	3.721758781
446	3.721232518
447	3.719235197
448	3.717596095
449	3.71692729
450	3.714758197
451	3.714178955
452	3.71275646
453	3.710646614
454	3.710080219
455	3.70974456
456	3.708526008
457	3.707827425
458	3.707611401
459	3.704666804
460	3.704480214
461	3.699545558
462	3.698129596
463	3.697094493
464	3.696112615
465	3.694116023
466	3.693126907
467	3.691954999
468	3.688514035
469	3.687452297
470	3.686044838
471	3.683090162
472	3.680464558
473	3.679980266
474	3.678581078
475	3.678412519
476	3.67729921
477	3.673228881
478	3.671901185
479	3.671781834
480	3.669675251
481	3.668964762
482	3.666946231
483	3.661292148
484	3.660311314
485	3.656510806
486	3.65537686
487	3.653999292
488	3.651384691
489	3.648091872
490	3.646019973
491	3.645817466
492	3.643857082
493	3.642135279
494	3.641621619
495	3.639954222
496	3.638952478
497	3.637494747
498	3.63525101
499	3.634483242
500	3.632638565
501	3.631803553
502	3.629870892
503	3.628714239
504	3.628555746
505	3.628285568
506	3.626662827
507	3.623080674
508	3.621003006
509	3.620196574
510	3.619228035
511	3.618859913
512	3.617645707
513	3.616086773
514	3.614681922
515	3.61297959
516	3.61023453
517	3.608532881
518	3.607647552
519	3.606904893
520	3.605905258
521	3.604706976
522	3.603158253
523	3.602271954
524	3.600300945
525	3.599504252
526	3.598896358
527	3.596692545
528	3.594291268
529	3.593132337
530	3.592192106
531	3.588746841
532	3.588606859
533	3.587487245
534	3.585750053
535	3.58010102
536	3.578203372
537	3.57766779
538	3.576224592
539	3.575512224
540	3.572110617
541	3.572104244
542	3.571937696
543	3.570255015
544	3.569989314
545	3.567955366
546	3.565902362
547	3.565471161
548	3.565317283
549	3.564885024
550	3.561520763
551	3.56130839
552	3.559584797
553	3.55759133
554	3.557409718
555	3.555625816
556	3.553458282
557	3.552948597
558	3.551614667
559	3.550612909
560	3.548758492
561	3.547147847
562	3.546094106
563	3.54546375
564	3.54348887
565	3.542463176
566	3.540996403
567	3.538050403
568	3.535202239
569	3.533866121
570	3.531884894
571	3.531716744
572	3.529227716
573	3.52587216
574	3.524009092
575	3.521880336
576	3.51980701
577	3.519047588
578	3.518279594
579	3.517909285
580	3.514160028
581	3.509524087
582	3.508526177
583	3.504973682
584	3.503111808
585	3.50269153
586	3.500555324
587	3.498649927
588	3.496471764
589	3.494738352
590	3.493967837
591	3.49371779
592	3.492851689
593	3.491013928
594	3.489974916
595	3.486587356
596	3.483747498
597	3.483431731
598	3.482791249
599	3.481542431
600	3.480345272
601	3.478783762
602	3.475765773
603	3.475694544
604	3.474346669
605	3.474064785
606	3.470586833
607	3.468399361
608	3.46565408
609	3.464003826
610	3.460416638
611	3.457703399
612	3.457574295
613	3.454755687
614	3.450300054
615	3.448354361
616	3.44780964
617	3.447551718
618	3.444801502
619	3.442676427
620	3.442617381
621	3.441650068
622	3.441369114
623	3.439811866
624	3.438393588
625	3.437117333
626	3.433783155
627	3.432693586
628	3.431610631
629	3.431328359
630	3.430484935
631	3.430272836
632	3.428701399
633	3.427433039
634	3.424479
635	3.422697413
636	3.422169478
637	3.420954502
638	3.420868299
639	3.41681795
640	3.414250057
641	3.412569015
642	3.412474324
643	3.411097361
644	3.408630779
645	3.408464063
646	3.408044318
647	3.406334574
648	3.405038268
649	3.403876495
650	3.401958729
651	3.400814989
652	3.398787658
653	3.395430147
654	3.394101667
655	3.390711065
656	3.390382011
657	3.389120185
658	3.386938298
659	3.386228827
660	3.385168359
661	3.383261769
662	3.381506897
663	3.380530684
664	3.379393855
665	3.377875623
666	3.374927031
667	3.373376429
668	3.371199035
669	3.370758323
670	3.369108966
671	3.366691552
672	3.366331053
673	3.365589816
674	3.365403351
675	3.362700305
676	3.361718894
677	3.360080004
678	3.35855924
679	3.357447807
680	3.355933352
681	3.353937799
682	3.352672201
683	3.3508418
684	3.349482271
685	3.347838269
686	3.346125938
687	3.344840973
688	3.343781228
689	3.342595332
690	3.341541846
691	3.338837232
692	3.337680919
693	3.336492299
694	3.333485351
695	3.332981014
696	3.332220023
697	3.330939435
698	3.329795606
699	3.328525457
700	3.325492925
701	3.324643719
702	3.322635267
703	3.322330173
704	3.322168078
705	3.32130554
706	3.321215889
707	3.319817763
708	3.318193731
709	3.31634752
710	3.315972947
711	3.312277747
712	3.311250376
713	3.30931447
714	3.306968552
715	3.305824281
716	3.303226335
717	3.301016697
718	3.300986319
719	3.298332072
720	3.296797664
721	3.296334708
722	3.295315218
723	3.293417004
724	3.29057147
725	3.289109346
726	3.287185653
727	3.2850796
728	3.283217898
729	3.280449039
730	3.277750237
731	3.276391852
732	3.275579042
733	3.274783609
734	3.273457066
735	3.272302298
736	3.27102051
737	3.268561833
738	3.2674212
739	3.26437748
740	3.261297789
741	3.260336824
742	3.259071863
743	3.258852046
744	3.258791464
745	3.257228389
746	3.254037375
747	3.251577741
748	3.249348857
749	3.247280967
750	3.2466941
751	3.243502548
752	3.2428145
753	3.242768678
754	3.242702982
755	3.241284077
756	3.240267769
757	3.23908779
758	3.237170898
759	3.235826456
760	3.235253327
761	3.234103563
762	3.233888768
763	3.233688747
764	3.233161562
765	3.233090559
766	3.233014836
767	3.230059433
768	3.229564302
769	3.228812467
770	3.228667996
771	3.227914941
772	3.225746527
773	3.22571937
774	3.225361581
775	3.225099442
776	3.22463007
777	3.22299077
778	3.221881827
779	3.220803034
780	3.218268692
781	3.218182569
782	3.216553567
783	3.209117688
784	3.203952378
785	3.201881786
786	3.201687197
787	3.200491198
788	3.200390741
789	3.199498386
790	3.199294189
791	3.19813855
792	3.195717556
793	3.194379192
794	3.191331746
795	3.189368
796	3.187474813
797	3.185426192
798	3.184291487
799	3.181951368
800	3.17924129
801	3.178388177
802	3.177435718
803	3.176515426
804	3.174615995
805	3.173744029
806	3.172737308
807	3.171450946
808	3.169331273
809	3.169073211
810	3.166415387
811	3.165118255
812	3.164286672
813	3.162098693
814	3.160381656
815	3.159881174
816	3.159127689
817	3.157891331
818	3.157326956
819	3.156758688
820	3.155569181
821	3.151115588
822	3.15002353
823	3.149894759
824	3.148053572
825	3.145779944
826	3.143103797
827	3.141538458
828	3.138861979
829	3.138245594
830	3.137073827
831	3.136079656
832	3.135308426
833	3.131340129
834	3.130920946
835	3.130164119
836	3.130140805
837	3.130077081
838	3.127999483
839	3.126608121
840	3.121428729
841	3.120033748
842	3.117360286
843	3.116033109
844	3.113885668
845	3.112784986
846	3.111634248
847	3.109415112
848	3.108888558
849	3.107563127
850	3.106523681
851	3.10571374
852	3.104133549
853	3.102396576
854	3.099757039
855	3.098805697
856	3.096134562
857	3.094954154
858	3.092199047
859	3.090106752
860	3.089349945
861	3.089320228
862	3.087744898
863	3.0868862
864	3.086365758
865	3.085392385
866	3.084739593
867	3.083098664
868	3.082630095
869	3.080066575
870	3.079106138
871	3.078193677
872	3.077476566
873	3.076445662
874	3.074998156
875	3.073378736
876	3.071629744
877	3.070343357
878	3.065881491
879	3.064766334
880	3.064272476
881	3.063689097
882	3.062591146
883	3.0610578
884	3.060295744
885	3.058156962
886	3.054580103
887	3.053803562
888	3.050907623
889	3.049569156
890	3.048291168
891	3.046259172
892	3.045735651
893	3.043501843
894	3.041684596
895	3.039402672
896	3.038106861
897	3.036327052
898	3.035069344
899	3.033293976
900	3.032265671
901	3.030638678
902	3.029106802
903	3.028638386
904	3.027160691
905	3.02521953
906	3.025181496
907	3.024543125
908	3.022700333
909	3.021786172
910	3.021699805
911	3.020649595
912	3.02005569
913	3.018838296
914	3.017862443
915	3.016923029
916	3.014398466
917	3.013544572
918	3.012410968
919	3.011717601
920	3.010995821
921	3.009347656
922	3.008151727
923	3.006638822
924	3.005851389
925	3.004718154
926	3.004007158
927	3.00170453
928	3.000944287
929	3.000360215
930	2.998205387
931	2.997357922
932	2.995832573
933	2.994104353
934	2.993081602
935	2.991772353
936	2.990521921
937	2.98863931
938	2.988131236
939	2.986365925
940	2.984786777
941	2.983848803
942	2.983186141
943	2.980823647
944	2.980796298
945	2.97944134
946	2.979016477
947	2.978531399
948	2.978108102
949	2.976000514
950	2.975244094
951	2.973985092
952	2.972559775
953	2.972325317
954	2.971408652
955	2.970409428
956	2.969322429
957	2.967828619
958	2.967031043
959	2.966768805
960	2.965986304
961	2.963612208
962	2.961938598
963	2.961212987
964	2.959020037
965	2.957637476
966	2.956613004
967	2.955931113
968	2.955009759
969	2.954042801
970	2.951980875
971	2.951008139
972	2.949221074
973	2.948009871
974	2.946921575
975	2.945133167
976	2.944722975
977	2.94372991
978	2.942774413
979	2.940944395
980	2.939691491
981	2.939238894
982	2.938698237
983	2.935813329
984	2.933671957
985	2.932590932
986	2.931675188
987	2.930839545
988	2.930062694
989	2.927979458
990	2.926359586
991	2.922790978
992	2.921560511
993	2.920613381
994	2.919663539
995	2.919034819
996	2.917852083
997	2.917185697
998	2.916891656
999	2.916000407
